"","abdn.ac","aber.ac","abertay-dundee.ac","anglia.ac","aston.ac","bangor.ac","bath.ac","bbk.ac","bham.ac","bournemouth.ac","brad.ac","bris.ac","brunel.ac","bton.ac","cam.ac","cf.ac","courtauld.ac","coventry.ac","cranfield.ac","derby.ac","dmu.ac","dundee.ac","dur.ac","ed.ac","essex.ac","ex.ac","gcal.ac","glam.ac","glasgow.ac","goldsmiths.ac","gre.ac","herts.ac","heythrop.ac","hud.ac","hw.ac","kcl.ac","keele.ac","kingston.ac","lamp.ac","lancs.ac","lboro.ac","lbs.ac","le.ac","leeds.ac","livjm.ac","lmu.ac","lse.ac","lshtm.ac","luton.ac","man.ac","mbs.ac","mcc.ac","mdx.ac","mmu.ac","napier.ac","ncl.ac","newport.ac","nott.ac","ntu.ac","ox.ac","paisley.ac","plymouth.ac","port.ac","qmw.ac","qub.ac","rcm.ac","rdg.ac","rgu.ac","salford.ac","sas.ac","shef.ac","soas.ac","soton.ac","ssees.ac","st-and.ac","staffs.ac","stir.ac","strath.ac","sunderland.ac","surrey.ac","susx.ac","swan.ac","tees.ac","tvu.ac","uce.ac","ucl.ac","uclan.ac","uea.ac","uel.ac","ukc.ac","ulh.ac","ulst.ac","umds.ac","umist.ac","unl.ac","unn.ac","uwcm.ac","uwe.ac","uwic.ac","warwick.ac","wlv.ac","wmin.ac","york.ac"
"abdn.ac",0,0.00400600901352028,0.000500751126690035,0.00400600901352028,0.00100150225338007,0.00300450676014021,0.0105157736604907,0.00550826239359039,0.0841261892839259,0.00250375563345018,0.00100150225338007,0.0230345518277416,0.0100150225338007,0.00150225338007011,0.0335503254882323,0.014521782674011,0,0.00150225338007011,0.00450676014021032,0.000500751126690035,0.00300450676014021,0.0340510766149224,0.0125187781672509,0.0901352028042063,0.00751126690035053,0.0265398097145719,0.00500751126690035,0.00150225338007011,0,0,0.00100150225338007,0.00200300450676014,0,0,0.0495743615423135,0.00500751126690035,0.00751126690035053,0.000500751126690035,0.000500751126690035,0.00751126690035053,0.00200300450676014,0,0.0220330495743615,0.0205307961942914,0.00250375563345018,0.000500751126690035,0.00701051577366049,0,0.000500751126690035,0.0225338007010516,0,0.00751126690035053,0,0.000500751126690035,0.00600901352028042,0.0150225338007011,0,0.00200300450676014,0.00550826239359039,0.0505758637956935,0.00350525788683025,0.00100150225338007,0.00550826239359039,0.00701051577366049,0.0135202804206309,0,0.00650976464697046,0.0335503254882323,0.00250375563345018,0.00150225338007011,0.116675012518778,0.000500751126690035,0.0190285428142213,0,0.0130195292939409,0.00150225338007011,0.0130195292939409,0.0170255383074612,0.00250375563345018,0.00550826239359039,0.00250375563345018,0.00801201802704056,0,0,0.00100150225338007,0.0185277916875313,0.000500751126690035,0.0085127691537306,0.00150225338007011,0.0110165247871808,0,0.00250375563345018,0.00100150225338007,0.00100150225338007,0.000500751126690035,0.00350525788683025,0.00450676014021032,0.00100150225338007,0,0.0190285428142213,0.0100150225338007,0.00250375563345018,0.0155232849273911
"aber.ac",0.0132701421800948,0,0,0.0014218009478673,0.0028436018957346,0.0341232227488152,0.0308056872037915,0.004739336492891,0.0146919431279621,0.00663507109004739,0.00947867298578199,0.0194312796208531,0.00710900473933649,0.000947867298578199,0.0308056872037915,0.0194312796208531,0,0,0.0033175355450237,0.00616113744075829,0.00900473933649289,0.0033175355450237,0.0113744075829384,0.0492890995260664,0.00805687203791469,0.028436018957346,0.000947867298578199,0.0042654028436019,0,0,0.000947867298578199,0.00521327014218009,0,0.000947867298578199,0.0170616113744076,0.00663507109004739,0.0037914691943128,0,0.0151658767772512,0.0203791469194313,0.0151658767772512,0,0.0322274881516588,0.0639810426540284,0.0113744075829384,0.0014218009478673,0.0118483412322275,0.0004739336492891,0.0042654028436019,0.0151658767772512,0,0.0033175355450237,0.004739336492891,0.00568720379146919,0.0137440758293839,0.00900473933649289,0.0028436018957346,0.0028436018957346,0.0118483412322275,0.0473933649289099,0.000947867298578199,0,0.00710900473933649,0.00568720379146919,0.00710900473933649,0,0.0123222748815166,0.000947867298578199,0.0123222748815166,0.0028436018957346,0.0345971563981043,0.0004739336492891,0.0246445497630332,0,0.0033175355450237,0.0018957345971564,0.00710900473933649,0.0127962085308057,0.0033175355450237,0.00758293838862559,0.0104265402843602,0.0289099526066351,0.0018957345971564,0.0037914691943128,0.0014218009478673,0.0255924170616114,0.0037914691943128,0.0156398104265403,0.00663507109004739,0.0146919431279621,0,0.0113744075829384,0.0004739336492891,0.0018957345971564,0.000947867298578199,0.00616113744075829,0.0028436018957346,0.00663507109004739,0.0023696682464455,0.0227488151658768,0.0137440758293839,0.0127962085308057,0.0127962085308057
"abertay-dundee.ac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0
"anglia.ac",0.00538793103448276,0.00538793103448276,0,0,0.00323275862068966,0.0021551724137931,0.0140086206896552,0,0.0140086206896552,0.00538793103448276,0.00862068965517241,0.00969827586206897,0.00646551724137931,0.00323275862068966,0.173491379310345,0.0107758620689655,0.00107758620689655,0.0021551724137931,0.00969827586206897,0.00862068965517241,0.0140086206896552,0.00431034482758621,0.00862068965517241,0.0549568965517241,0.0150862068965517,0.0334051724137931,0.00107758620689655,0,0,0,0,0.00323275862068966,0,0.00862068965517241,0.0280172413793103,0.00431034482758621,0.0021551724137931,0.00107758620689655,0,0.0140086206896552,0.00431034482758621,0,0.0129310344827586,0.0452586206896552,0.00431034482758621,0.0021551724137931,0.00107758620689655,0,0.0021551724137931,0.021551724137931,0,0.0107758620689655,0,0.00107758620689655,0.00431034482758621,0.0258620689655172,0,0,0.00538793103448276,0.0452586206896552,0,0,0.00107758620689655,0.0021551724137931,0.00754310344827586,0.0021551724137931,0.00323275862068966,0.00538793103448276,0.0183189655172414,0.00538793103448276,0.0366379310344828,0.00107758620689655,0.0301724137931034,0,0.00107758620689655,0.00431034482758621,0.00431034482758621,0.00538793103448276,0.0021551724137931,0.0269396551724138,0.00646551724137931,0.00431034482758621,0.00107758620689655,0.00323275862068966,0,0.0226293103448276,0.00107758620689655,0.0301724137931034,0.0118534482758621,0.00431034482758621,0,0.00538793103448276,0,0.00646551724137931,0.00431034482758621,0.00969827586206897,0.00538793103448276,0.00107758620689655,0,0.0247844827586207,0.0129310344827586,0.00646551724137931,0.0183189655172414
"aston.ac",0.00409165302782324,0.00736497545008183,0,0.00327332242225859,0,0.00490998363338789,0.016366612111293,0.00818330605564648,0.108019639934534,0.0016366612111293,0.00654664484451719,0.0114566284779051,0.00490998363338789,0.00327332242225859,0.0482815057283142,0.0114566284779051,0,0.00327332242225859,0.0016366612111293,0.000818330605564648,0.00818330605564648,0.00245499181669394,0.00818330605564648,0.0654664484451719,0.0196399345335516,0.0392798690671031,0.00327332242225859,0.000818330605564648,0.000818330605564648,0,0,0,0,0.000818330605564648,0.0220949263502455,0.00981996726677578,0.00981996726677578,0.00245499181669394,0.00245499181669394,0.0122749590834697,0.00327332242225859,0,0.0212765957446809,0.0270049099836334,0.00572831423895254,0.000818330605564648,0.00490998363338789,0,0,0.0556464811783961,0,0.00818330605564648,0.000818330605564648,0.00245499181669394,0.000818330605564648,0.0327332242225859,0,0.00654664484451719,0.00245499181669394,0.0638297872340425,0,0,0.00327332242225859,0.0147299509001637,0.00654664484451719,0,0.00818330605564648,0.00327332242225859,0.00572831423895254,0.00409165302782324,0.0204582651391162,0.000818330605564648,0.0212765957446809,0,0.00327332242225859,0.00245499181669394,0.0106382978723404,0.00818330605564648,0.00409165302782324,0.00981996726677578,0.00409165302782324,0.00654664484451719,0.0016366612111293,0.000818330605564648,0.00327332242225859,0.0409165302782324,0.000818330605564648,0.013911620294599,0.000818330605564648,0.00654664484451719,0.000818330605564648,0.00572831423895254,0.0016366612111293,0.00981996726677578,0.00572831423895254,0.013911620294599,0.000818330605564648,0.0016366612111293,0,0.0310965630114566,0.00818330605564648,0.000818330605564648,0.0237315875613748
"bangor.ac",0.0126582278481013,0.0151898734177215,0,0.00253164556962025,0.00253164556962025,0,0.0189873417721519,0.00253164556962025,0.0240506329113924,0,0,0.0189873417721519,0.00253164556962025,0,0.0531645569620253,0.0126582278481013,0,0.00126582278481013,0.0227848101265823,0.00632911392405063,0.00379746835443038,0.00253164556962025,0.0151898734177215,0.0481012658227848,0.0151898734177215,0.0924050632911392,0.00126582278481013,0.00506329113924051,0,0,0.00126582278481013,0.00253164556962025,0,0.00126582278481013,0.0240506329113924,0.00759493670886076,0.00253164556962025,0.0113924050632911,0.0367088607594937,0.0177215189873418,0.00506329113924051,0,0.0177215189873418,0.0291139240506329,0.00126582278481013,0,0.00253164556962025,0,0.00126582278481013,0.0215189873417722,0.00379746835443038,0.00253164556962025,0.00126582278481013,0,0.00253164556962025,0.0189873417721519,0.00379746835443038,0.00886075949367089,0.00759493670886076,0.0367088607594937,0.00126582278481013,0.00253164556962025,0.00886075949367089,0.010126582278481,0.0126582278481013,0,0.00632911392405063,0.00126582278481013,0,0.00126582278481013,0.030379746835443,0,0.0670886075949367,0,0.0265822784810127,0.00253164556962025,0.00506329113924051,0.00506329113924051,0.00126582278481013,0.00506329113924051,0.00886075949367089,0.020253164556962,0.00253164556962025,0.00126582278481013,0.00126582278481013,0.0164556962025316,0.00253164556962025,0.00886075949367089,0.00379746835443038,0.00632911392405063,0,0.0113924050632911,0.00126582278481013,0.00632911392405063,0.00379746835443038,0.00126582278481013,0.00632911392405063,0.00126582278481013,0.00632911392405063,0.0164556962025316,0.0126582278481013,0.00632911392405063,0.0177215189873418
"bath.ac",0.00519255733448724,0.00649069666810904,0,0.00259627866724362,0.00475984422327997,0.00173085244482908,0,0.00259627866724362,0.0142795326698399,0.00043271311120727,0.00302899177845089,0.0700995240155777,0.00908697533535266,0.00216356555603635,0.0990913024664647,0.0142795326698399,0,0.00129813933362181,0.0108178277801817,0.00259627866724362,0.00302899177845089,0.00778883600173085,0.0108178277801817,0.0566854175681523,0.0142795326698399,0.0419731717871051,0.00043271311120727,0.000865426222414539,0.000865426222414539,0,0.00216356555603635,0.0043271311120727,0,0.00259627866724362,0.0164430982258762,0.00605798355690177,0.00389441800086543,0.00043271311120727,0,0.0151449588922544,0.0199048031155344,0,0.0168758113370835,0.0393768931198615,0.00216356555603635,0.00129813933362181,0.00649069666810904,0.00043271311120727,0.00043271311120727,0.0242319342276071,0.00043271311120727,0.0151449588922544,0.00216356555603635,0.000865426222414539,0.000865426222414539,0.0103851146689745,0,0.0116832540025963,0.00346170488965816,0.0757247944612722,0,0,0.00302899177845089,0.00778883600173085,0.00692340977931631,0,0.00692340977931631,0.00043271311120727,0.00259627866724362,0.000865426222414539,0.0276936391172653,0.00043271311120727,0.0519255733448723,0,0.0129813933362181,0.00043271311120727,0.00259627866724362,0.0099524015577672,0.00302899177845089,0.0199048031155344,0.00605798355690177,0.0056252704456945,0,0.00043271311120727,0.00043271311120727,0.0250973604500216,0.00043271311120727,0.0194720900043271,0.00173085244482908,0.0103851146689745,0.00043271311120727,0.00216356555603635,0,0.0142795326698399,0.000865426222414539,0.00129813933362181,0.00043271311120727,0.0281263522284725,0.00129813933362181,0.0237992211163998,0.0099524015577672,0,0.0199048031155344
"bbk.ac",0.00354470263883419,0.00669554942890902,0,0.00157542339503742,0.00118156754627806,0.00157542339503742,0.0145726664040961,0,0.00748326112642773,0.000393855848759354,0,0.0165419456478929,0.00157542339503742,0.00196927924379677,0.138637258763293,0.00275699094131548,0.000787711697518708,0.000787711697518708,0.00196927924379677,0.00157542339503742,0.00315084679007483,0.00275699094131548,0.0118156754627806,0.0259944860181174,0.00669554942890902,0.0228436392280425,0.000393855848759354,0,0,0.000787711697518708,0.000787711697518708,0.00157542339503742,0,0.00157542339503742,0.00669554942890902,0.00748326112642773,0.000787711697518708,0.000787711697518708,0,0.00551398188263096,0.00236313509255612,0.00118156754627806,0.0224497833792832,0.0460811343048444,0,0.000393855848759354,0.0204805041354864,0.00393855848759354,0,0.025600630169358,0,0.00984639621898385,0.00118156754627806,0.00118156754627806,0,0.0118156754627806,0,0.00196927924379677,0.00118156754627806,0.0929499803072076,0,0,0.0051201260338716,0.00669554942890902,0.00827097282394644,0,0.00630169358014966,0,0.00196927924379677,0.0385978731784167,0.0141788105553367,0.00905868452146514,0.0137849547065774,0.00157542339503742,0.0204805041354864,0,0.00315084679007483,0.0263883418668767,0.000393855848759354,0.00315084679007483,0.00748326112642773,0.00157542339503742,0.000393855848759354,0,0,0.205592753052383,0.000787711697518708,0.00472627018511225,0.000787711697518708,0.00354470263883419,0,0.00157542339503742,0.000393855848759354,0.00354470263883419,0.000393855848759354,0.00118156754627806,0.000393855848759354,0.00118156754627806,0,0.0137849547065774,0.00275699094131548,0.00118156754627806,0.0437179992122883
"bham.ac",0.0129321064411838,0.00621735886595374,0,0.0024869435463815,0.0191494653071375,0.00671474757523004,0.016662521760756,0.0039791096742104,0,0.00174086048246705,0.00547127580203929,0.0186520765978612,0.00845560805769709,0.00223824919174335,0.0624222830141756,0.00969907983088784,0,0.000994777418552599,0.00124347177319075,0.00124347177319075,0.00472519273812484,0.00795821934842079,0.0106938572494404,0.0915195225068391,0.00770952499378264,0.0288485451380254,0.000746083063914449,0.000497388709276299,0,0,0.00174086048246705,0.00124347177319075,0,0.0014921661278289,0.0218851032081572,0.00646605322059189,0.00895299676697339,0.000497388709276299,0.000746083063914449,0.0241233523999005,0.00422780402884855,0,0.0489927878637155,0.0320815717483213,0.00422780402884855,0.00024869435463815,0.0029843322556578,0.00024869435463815,0.000497388709276299,0.0318328773936832,0,0.0101964685401641,0.0014921661278289,0.00596866451131559,0.0131808007958219,0.0273563790101965,0,0.00895299676697339,0.00323302661029595,0.053220591892564,0.00024869435463815,0.00024869435463815,0.00497388709276299,0.0156677443422034,0.00795821934842079,0.00024869435463815,0.00945038547624969,0.000497388709276299,0.000746083063914449,0.00273563790101965,0.034817209649341,0.000746083063914449,0.0462571499626958,0.00174086048246705,0.0131808007958219,0.00323302661029595,0.00273563790101965,0.00621735886595374,0.00124347177319075,0.0131808007958219,0.0231285749813479,0.0039791096742104,0,0,0.0014921661278289,0.0387963193235514,0.00024869435463815,0.0141755782143745,0.00124347177319075,0.00621735886595374,0,0.00323302661029595,0.0101964685401641,0.0119373290226312,0.000994777418552599,0.0014921661278289,0.0019895548371052,0.0024869435463815,0,0.0305894056204924,0.0114399403133549,0.00273563790101965,0.0184033822432231
"bournemouth.ac",0.0127504553734062,0.0145719489981785,0,0.00546448087431694,0.00182149362477231,0.00546448087431694,0.0182149362477231,0.00546448087431694,0.0400728597449909,0,0.0145719489981785,0.0400728597449909,0.00364298724954463,0.00910746812386157,0.0182149362477231,0.00910746812386157,0,0,0.0163934426229508,0,0.00910746812386157,0.0236794171220401,0.0182149362477231,0.0546448087431694,0.00364298724954463,0.0182149362477231,0,0.00182149362477231,0,0,0.00182149362477231,0.00364298724954463,0,0.00182149362477231,0.0145719489981785,0.00728597449908925,0.00364298724954463,0.0109289617486339,0.00546448087431694,0.00546448087431694,0.00910746812386157,0.00182149362477231,0.0182149362477231,0.0109289617486339,0.00182149362477231,0.00728597449908925,0.00364298724954463,0,0.00182149362477231,0.0182149362477231,0,0.00728597449908925,0.00728597449908925,0.00728597449908925,0.00546448087431694,0.029143897996357,0,0.00546448087431694,0.00364298724954463,0.0655737704918033,0.00546448087431694,0,0.0109289617486339,0.00364298724954463,0.0145719489981785,0,0.00910746812386157,0.00364298724954463,0,0.00182149362477231,0.0200364298724954,0,0.0655737704918033,0,0.00364298724954463,0.00364298724954463,0.00546448087431694,0.034608378870674,0.00182149362477231,0.00546448087431694,0.00364298724954463,0.00910746812386157,0.00182149362477231,0,0,0.0255009107468124,0.00728597449908925,0.0127504553734062,0,0.0145719489981785,0,0.00728597449908925,0.00182149362477231,0.00546448087431694,0.0127504553734062,0.00364298724954463,0,0.00364298724954463,0,0.0510018214936248,0.00910746812386157,0.0127504553734062,0.0255009107468124
