
   problema       n       m         f         iter   feval      CPU(s)     inercia  
---------------------------------------------------------------------------------------------
        bt1       2       1   -1.0000e+00      10    12     1.6475e-01    1
        bt2       3       1   3.2570e-02      10    13     4.1376e-03    1
        bt4       3       2   -1.8609e+01       0     1     3.3962e-03    0
        bt5       3       2   9.6172e+02       6     7     5.9821e-03    1
        bt6       5       2   2.7704e-01       8    10     2.9572e-03    1
        bt7       5       3   9.0900e+02       0     1     7.9914e-04    0
        bt8       5       2   3.0000e+00       0     1     1.2329e-03    0
        bt9       4       2   -3.0174e+00       1     3     2.0297e-03    0
       bt11       5       3   8.2489e-01       7     9     4.0589e-03    1
       bt12       5       3   6.1881e+00       3     4     9.6931e-03    1
   byrdsphr ,    problema mal escalado ,     iter =   1 
     catena      32      11   -2.3078e+04       7    10     5.3676e-03    1
   catenary     496     166   0.0000e+00       0     1     1.6632e-02    0
   dixchlng      10       5   2.4719e+03       8    10     3.1399e-03    1
     dtoc1l   14985    9990   1.2534e+02       5     6     3.8635e+00    1
    dtoc1na    1485     990   1.2702e+01       5     6     3.9077e-01    1
    dtoc1nb    1485     990   1.5938e+01       5     6     3.9119e-01    1
    dtoc1nc    1485     990   2.4970e+01      15    31     7.2602e-01    1
    dtoc1nd     735     490   1.2197e+01       1     5     1.3250e-01    0
      dtoc2    5994    3996   5.0868e-01       7    14     9.9496e-01    1
      dtoc4   14996    9997   2.8685e+00       3     4     2.6360e+00    1
      dtoc5    9998    4999   1.5351e+00       3     4     7.0342e-01    1
      dtoc6   10000    5000   1.3485e+05      21    44     3.5211e+00    1
    eigena2     110      55   2.8500e+02       0     1     7.3729e-03    0
   eigenaco     110      55   2.8500e+02       0     1     6.2114e-03    0
    eigenb2     110      55   6.5800e+02       0     1     8.5962e-03    0
   eigenbco     110      55   1.9000e+01       0     1     5.7789e-03    0
    eigenc2     462     231   1.0071e+04       0     1     8.3263e-02    0
   eigencco      30      15   1.9000e+01       0     1     1.0131e-02    0
    gilbert      10       1   1.9250e+02       0     1     1.9392e-03    0
      hs006       2       1   0.0000e+00       5    15     2.2948e-03    1
      hs007       2       1   -3.9056e-01       0     1     7.7190e-04    0
      hs009       2       1   0.0000e+00       0     1     8.9611e-04    0
      hs026       3       1   2.8206e-10      16    17     4.2550e-03    1
      hs027       3       1   1.2247e-02       1     2     1.2785e-03    0
      hs039       4       2   -3.0174e+00       1     3     1.8214e-03    0
      hs040       4       3   -2.5000e-01       3     4     9.6809e-03    1
      hs046       5       2   4.5655e-08       8     9     2.3390e-03    1
      hs047       5       3   1.5816e+00       3     5     1.0846e-02    0
      hs049       5       2   4.5732e-06      11    12     3.3067e-03    1
      hs050       5       3   6.3837e-13       8     9     2.7407e-03    1
      hs061       3       2   0.0000e+00       0     1     4.6739e-03    0
      hs077       5       2   2.4151e-01       8    10     2.9110e-03    1
      hs078       5       3   -2.9197e+00       3     4     1.7143e-03    1
      hs079       5       3   7.8777e-02       4     5     1.8771e-03    1
   hs100lnp       7       2   7.1400e+02       0     1     9.2152e-04    0
   hs111lnp      10       3   -2.1015e+01       0     1     1.0697e-03    0
        lch     600       1   2.5870e+05       0     1     1.5316e-02    0
    maratos       2       1   -1.0000e+00      11    13     3.1362e-03    1
   maratos2       2       1   -1.0000e+00      11    14     3.2769e-03    1
    mwright       5       3   5.0181e+01       1     2     1.4319e-03    0
   orthrdm2    4003    2000   1.5553e+02       6     9     7.9579e-01    1
   orthrds2     203     100   3.0776e+01       4     7     2.0302e-02    0
   orthrega     517     256   5.9237e+02       2     4     2.9640e-02    0
   orthregb      27       6   0.0000e+00       0     1     1.0798e-03    0
   orthregc   10005    5000   1.9107e+02       2     5     4.7834e+00    0
   orthregd   10003    5000   1.5239e+03       7    11     5.0803e+00    1
   orthrgdm   10003    5000   1.5138e+03       8    13     5.5195e+00    1
   orthrgds   10003    5000   7.6162e+01       0     1     3.7717e+00    0
