
   problema       n       m         f         iter   feval      CPU(s)     inercia  
        bt1       2       1   -1.0000e+00      10    11     1.9683e-01    1
        bt2       3       1   3.2568e-02      11    12     2.8380e-03    1
        bt4       3       2   -1.8609e+01       0     1     1.7684e-03    0
        bt4       3       2   -1.8609e+01       0     1     2.3153e-03    0
        bt5       3       2   9.6172e+02       6     7     2.3499e-03    1
        bt6       5       2   2.7704e-01      12    13     3.1200e-03    1
        bt7       5       3   9.0900e+02       0     1     5.7173e-04    0
        bt7       5       3   9.0900e+02       0     1     6.3604e-04    0
        bt8       5       2   3.0000e+00       0     1     6.4144e-04    0
        bt8       5       2   3.0000e+00       0     1     7.0454e-04    0
        bt9       4       2   -4.0348e+00       1     2     9.2847e-04    0
       bt11       5       3   8.2489e-01       7     8     1.9797e-03    1
       bt12       5       3   6.1881e+00       3     4     1.1999e-03    1
   byrdsphr       3       2   -2.2625e+12       1     2     8.6105e-04    0
     catena      32      11   -2.3078e+04       6     7     2.2294e-03    1
   catenary     496     166   0.0000e+00       0     1     6.9033e-03    0
   catenary     496     166   0.0000e+00       0     1     6.9795e-03    0
   dixchlng      10       5   2.4719e+03      10    11     2.9342e-03    1
     dtoc1l   14985    9990   1.2534e+02       6     7     4.4021e+00    1
    dtoc1na    1485     990   1.2702e+01       5     6     3.3619e-01    1
    dtoc1nb    1485     990   1.5938e+01       5     6     3.4220e-01    1
    dtoc1nc    1485     990   2.4942e+01       3     4     2.7072e-01    0
    dtoc1nd     735     490   2.8513e+03       1     2     1.4456e-01    0
      dtoc2    5994    3996   8.6183e-01       1     2     3.0551e-01    0
      dtoc4   14996    9997   2.8685e+00       3     4     2.4347e+00    1
      dtoc5    9998    4999   1.5351e+00       3     4     6.5341e-01    1
      dtoc6   10000    5000   1.3485e+05      11    12     1.9545e+00    1
    eigena2     110      55   2.8500e+02       0     1     7.5179e-03    0
    eigena2     110      55   2.8500e+02       0     1     7.5943e-03    0
   eigenaco     110      55   2.8500e+02       0     1     7.3091e-03    0
   eigenaco     110      55   2.8500e+02       0     1     7.3926e-03    0
    eigenb2     110      55   6.5800e+02       0     1     4.9718e-03    0
    eigenb2     110      55   6.5800e+02       0     1     5.0506e-03    0
   eigenbco     110      55   1.9000e+01       0     1     5.3059e-03    0
   eigenbco     110      55   1.9000e+01       0     1     5.3932e-03    0
    eigenc2     462     231   1.0071e+04       0     1     7.3428e-02    0
    eigenc2     462     231   1.0071e+04       0     1     7.3501e-02    0
   eigencco      30      15   1.9000e+01       0     1     1.4797e-03    0
   eigencco      30      15   1.9000e+01       0     1     1.5438e-03    0
    gilbert      10       1   1.9250e+02       0     1     1.0128e-03    0
    gilbert      10       1   1.9250e+02       0     1     1.1219e-03    0
      hs006       2       1   0.0000e+00       3     4     1.1406e-03    1
      hs007       2       1   -3.9056e-01       0     1     5.3927e-04    0
      hs007       2       1   -3.9056e-01       0     1     6.0228e-04    0
      hs009       2       1   0.0000e+00       0     1     5.1039e-04    0
      hs009       2       1   0.0000e+00       0     1     5.7300e-04    0
      hs026       3       1   2.8206e-10      16    17     3.1164e-03    1
      hs027       3       1   1.2247e-02       1     2     9.0117e-04    0
      hs039       4       2   -4.0348e+00       1     2     8.3971e-04    0
      hs040       4       3   -2.5000e-01       3     4     1.4326e-03    1
      hs046       5       2   3.6785e-10      11    12     3.2151e-03    1
      hs047       5       3   8.5003e-10      15    16     3.1951e-03    1
      hs049       5       2   6.9625e-09      15    16     3.1769e-03    1
      hs050       5       3   6.3837e-13       8     9     1.9250e-03    1
      hs061       3       2   0.0000e+00       0     1     3.5033e-03    0
      hs061       3       2   0.0000e+00       0     1     3.5711e-03    0
      hs077       5       2   2.4151e-01      11    12     2.4436e-03    1
      hs078       5       3   -2.9197e+00       4     5     1.4200e-03    1
      hs079       5       3   7.8777e-02       4     5     1.3755e-03    1
   hs100lnp       7       2   7.1400e+02       0     1     7.5066e-04    0
   hs100lnp       7       2   7.1400e+02       0     1     8.1761e-04    0
   hs111lnp      10       3   -2.1015e+01       0     1     7.7272e-04    0
   hs111lnp      10       3   -2.1015e+01       0     1     8.3732e-04    0
        lch     600       1   2.5870e+05       0     1     6.1398e-03    0
        lch     600       1   2.5870e+05       0     1     6.2126e-03    0
    maratos       2       1   -1.0000e+00      11    12     2.4872e-03    1
   maratos2       2       1   -1.0000e+00      11    12     3.6337e-03    1
    mwright       5       3   5.0181e+01       1     2     9.4249e-04    0
   orthrdm2    4003    2000   5.2770e+02       3     4     5.5166e-01    0
   orthrds2     203     100   3.5834e+02       3     4     7.9890e-03    0
   orthrega     517     256   2.3332e+03       2     3     1.8887e-02    0
   orthregb      27       6   0.0000e+00       0     1     1.3586e-03    0
   orthregb      27       6   0.0000e+00       0     1     1.4675e-03    0
   orthregc   10005    5000   3.4105e+02       2     3     5.0324e+00    0
   orthregd   10003    5000   8.6953e+03       3     4     4.3449e+00    0
   orthrgdm   10003    5000   6.0109e+03       2     3     4.1624e+00    0
   orthrgds   10003    5000   7.6162e+01       0     1     3.8921e+00    0
   orthrgds   10003    5000   7.6162e+01       0     1     3.8922e+00    0
