
   problema       n       m         f         iter   feval      CPU(s)     inercia  
        bt1       2       1   -1.0000e+00      10    12     1.3472e-01    1
        bt2       3       1   3.2568e-02      11    14     3.3513e-03    1
        bt4       3       2   -1.8609e+01       0     1     2.1403e-03    0
        bt5       3       2   9.6172e+02       6     7     5.4716e-03    1
        bt6       5       2   2.7704e-01       9    11     2.8813e-03    1
        bt7       5       3   9.0900e+02       0     1     5.5049e-04    0
        bt8       5       2   3.0000e+00       0     1     5.4136e-04    0
        bt9       4       2   -3.0174e+00       1     3     9.3571e-04    0
       bt11       5       3   8.2489e-01       7     9     2.2215e-03    1
       bt12       5       3   6.1881e+00       3     4     1.3644e-03    1
   byrdsphr ,    problema mal escalado ,     iter =   1 
     catena      32      11   -2.3078e+04       7    10     2.7407e-03    1
   catenary     496     166   0.0000e+00       0     1     6.4854e-03    0
   dixchlng      10       5   2.4719e+03       9    11     3.1815e-03    1
     dtoc1l ,    problema mal escalado ,     iter =  41 
    dtoc1na    1485     990   1.2702e+01     101   395     3.4759e+00    1
    dtoc1nb    1485     990   1.5938e+01     101   413     3.5898e+00    1
    dtoc1nc    1485     990   2.4970e+01     101   651     4.1914e+00    1
    dtoc1nd     735     490   1.2197e+01       1     5     1.0459e-01    0
      dtoc2    5994    3996   5.0868e-01       7    14     9.1758e-01    1
      dtoc4   14996    9997   2.8685e+00       3     4     2.5522e+00    1
      dtoc5    9998    4999   1.5351e+00       3     4     6.8191e-01    1
      dtoc6   10000    5000   1.3485e+05      22    45     3.7962e+00    1
    eigena2     110      55   2.8500e+02       0     1     6.3077e-03    0
   eigenaco     110      55   2.8500e+02       0     1     5.3133e-03    0
    eigenb2     110      55   6.5800e+02       0     1     4.9011e-03    0
   eigenbco     110      55   1.9000e+01       0     1     4.9758e-03    0
    eigenc2     462     231   1.0071e+04       0     1     7.4406e-02    0
   eigencco      30      15   1.9000e+01       0     1     1.4275e-03    0
    gilbert      10       1   1.9250e+02       0     1     6.0739e-04    0
      hs006       2       1   0.0000e+00       5    15     1.8665e-03    1
      hs007       2       1   -3.9056e-01       0     1     5.4138e-04    0
      hs009       2       1   0.0000e+00       0     1     5.7851e-04    0
      hs026       3       1   9.0045e-31      46    50     9.8118e-03    1
      hs027       3       1   1.2247e-02       1     2     9.0691e-04    0
      hs039       4       2   -3.0174e+00       1     3     9.3255e-04    0
      hs040       4       3   -2.5000e-01       3     4     1.3830e-03    1
      hs046 ,    problema mal escalado ,     iter =  66 
      hs047       5       3   1.5816e+00       3     5     1.4039e-03    0
      hs049       5       2   1.7844e-07      13    14     3.3409e-03    1
      hs050       5       3   6.3837e-13       8     9     2.2902e-03    1
      hs061       3       2   0.0000e+00       0     1     4.0299e-03    0
      hs077       5       2   2.4151e-01       8    10     2.6028e-03    1
      hs078       5       3   -2.9197e+00       4     5     1.6152e-03    1
      hs079       5       3   7.8777e-02       4     5     1.6316e-03    1
   hs100lnp       7       2   7.1400e+02       0     1     5.8855e-04    0
   hs111lnp      10       3   -2.1015e+01       0     1     7.3273e-04    0
        lch     600       1   2.5870e+05       0     1     6.9331e-03    0
    maratos       2       1   -1.0000e+00      11    13     2.8040e-03    1
   maratos2       2       1   -1.0000e+00      11    14     2.9369e-03    1
    mwright       5       3   5.0181e+01       1     2     1.0736e-03    0
   orthrdm2    4003    2000   1.5553e+02       6     9     6.7015e-01    1
   orthrds2     203     100   3.0776e+01       4     7     8.5084e-03    0
   orthrega     517     256   5.9237e+02       2     4     2.0369e-02    0
   orthregb      27       6   0.0000e+00       0     1     9.0419e-04    0
   orthregc   10005    5000   1.9107e+02       2     5     4.5517e+00    0
   orthregd   10003    5000   1.5239e+03       7    11     5.2255e+00    1
   orthrgdm   10003    5000   1.5138e+03       8    13     5.4135e+00    1
   orthrgds   10003    5000   7.6162e+01       0     1     3.6441e+00    0
