
   problema       n       m         f         iter   feval      CPU(s)     inercia  
        bt1       2       1   -1.0000e+00      10    11     2.0884e-01    1
        bt2       3       1   3.2568e-02      12    13     3.8168e-03    1
        bt4       3       2   -1.8609e+01       0     1     1.7723e-03    0
        bt4       3       2   -1.8609e+01       0     1     2.3267e-03    0
        bt5       3       2   9.6172e+02       6     7     2.3437e-03    1
        bt6       5       2   2.7704e-01      12    13     2.6915e-03    1
        bt7       5       3   9.0900e+02       0     1     5.1708e-04    0
        bt7       5       3   9.0900e+02       0     1     5.7903e-04    0
        bt8       5       2   3.0000e+00       0     1     5.7527e-04    0
        bt8       5       2   3.0000e+00       0     1     6.4135e-04    0
        bt9       4       2   -4.0348e+00       1     2     8.1736e-04    0
       bt11       5       3   8.2489e-01       7     8     1.8377e-03    1
       bt12       5       3   6.1881e+00       4     5     1.3579e-03    1
   byrdsphr       3       2   -2.2625e+12       1     2     8.4925e-04    0
     catena      32      11   -2.3078e+04       6     7     2.2109e-03    1
   catenary     496     166   0.0000e+00       0     1     6.9223e-03    0
   catenary     496     166   0.0000e+00       0     1     6.9948e-03    0
   dixchlng      10       5   2.4719e+03      10    11     2.8774e-03    1
     dtoc1l   14985    9990   1.2534e+02       6     7     4.4527e+00    1
    dtoc1na    1485     990   1.2702e+01       6     7     3.6200e-01    1
    dtoc1nb    1485     990   1.5938e+01       5     6     3.4868e-01    1
    dtoc1nc    1485     990   2.4942e+01       3     4     2.7876e-01    0
    dtoc1nd     735     490   2.8513e+03       1     2     9.9995e-02    0
      dtoc2    5994    3996   8.6183e-01       1     2     2.7406e-01    0
      dtoc4   14996    9997   2.8685e+00       3     4     2.4699e+00    1
      dtoc5    9998    4999   1.5351e+00       3     4     6.8053e-01    1
      dtoc6   10000    5000   1.3485e+05      11    12     1.8880e+00    1
    eigena2     110      55   2.8500e+02       0     1     6.9721e-03    0
    eigena2     110      55   2.8500e+02       0     1     7.0542e-03    0
   eigenaco     110      55   2.8500e+02       0     1     5.3354e-03    0
   eigenaco     110      55   2.8500e+02       0     1     5.4152e-03    0
    eigenb2     110      55   6.5800e+02       0     1     4.9020e-03    0
    eigenb2     110      55   6.5800e+02       0     1     4.9770e-03    0
   eigenbco     110      55   1.9000e+01       0     1     4.9589e-03    0
   eigenbco     110      55   1.9000e+01       0     1     5.0391e-03    0
    eigenc2     462     231   1.0071e+04       0     1     7.3646e-02    0
    eigenc2     462     231   1.0071e+04       0     1     7.3720e-02    0
   eigencco      30      15   1.9000e+01       0     1     1.3516e-03    0
   eigencco      30      15   1.9000e+01       0     1     1.4148e-03    0
    gilbert      10       1   1.9250e+02       0     1     5.6082e-04    0
    gilbert      10       1   1.9250e+02       0     1     6.2257e-04    0
      hs006       2       1   0.0000e+00       3     4     1.1594e-03    1
      hs007       2       1   -3.9056e-01       0     1     5.3409e-04    0
      hs007       2       1   -3.9056e-01       0     1     5.9699e-04    0
      hs009       2       1   0.0000e+00       0     1     4.9794e-04    0
      hs009       2       1   0.0000e+00       0     1     5.5966e-04    0
      hs026       3       1   2.1739e-12      19    20     3.5989e-03    1
      hs027       3       1   1.2247e-02       1     2     8.6612e-04    0
      hs039       4       2   -4.0348e+00       1     2     8.7231e-04    0
      hs040       4       3   -2.5000e-01       3     4     1.1648e-03    1
      hs046       5       2   1.4390e-11      13    14     2.6948e-03    1
      hs047       5       3   1.0655e-10      16    17     3.3611e-03    1
      hs049       5       2   1.3753e-09      16    17     3.3232e-03    1
      hs050       5       3   6.1630e-32       9    10     2.2588e-03    1
      hs061       3       2   0.0000e+00       0     1     3.4679e-03    0
      hs061       3       2   0.0000e+00       0     1     3.5325e-03    0
      hs077       5       2   2.4151e-01      11    12     2.4890e-03    1
      hs078       5       3   -2.9197e+00       4     5     1.3980e-03    1
      hs079       5       3   7.8777e-02       4     5     1.3669e-03    1
   hs100lnp       7       2   7.1400e+02       0     1     7.0078e-04    0
   hs100lnp       7       2   7.1400e+02       0     1     7.6251e-04    0
   hs111lnp      10       3   -2.1015e+01       0     1     7.8314e-04    0
   hs111lnp      10       3   -2.1015e+01       0     1     8.5016e-04    0
        lch     600       1   2.5870e+05       0     1     7.3570e-03    0
        lch     600       1   2.5870e+05       0     1     7.4357e-03    0
    maratos       2       1   -1.0000e+00      12    13     2.4604e-03    1
   maratos2       2       1   -1.0000e+00      12    13     2.4743e-03    1
    mwright       5       3   5.0181e+01       1     2     8.7239e-04    0
   orthrdm2    4003    2000   5.2770e+02       3     4     5.0576e-01    0
   orthrds2     203     100   3.5834e+02       3     4     6.9154e-03    0
   orthrega     517     256   2.3332e+03       2     3     1.9418e-02    0
   orthregb      27       6   0.0000e+00       0     1     8.4844e-04    0
   orthregb      27       6   0.0000e+00       0     1     9.1162e-04    0
   orthregc   10005    5000   3.4105e+02       2     3     4.4347e+00    0
   orthregd   10003    5000   8.6953e+03       3     4     4.0581e+00    0
   orthrgdm   10003    5000   6.0109e+03       2     3     3.8525e+00    0
   orthrgds   10003    5000   7.6162e+01       0     1     3.4583e+00    0
   orthrgds   10003    5000   7.6162e+01       0     1     3.4584e+00    0
