 Nombre del problema                      eigenbco  
 Numero de variables                     110 
 Numero de restricciones                  55 
 Numero maximo de iteraciones              50 
 Tolerancia                               1.00e-05 

 Objetivo en el punto inicial             1.900000000000000e+01 
 Norma de las restricciones en el punto inicial              0.00e+00 
 Norma del gradiente de la Lagrangiana en el punto inicial    6.32e+00 

   k         f             ||c||      ||gL||     alpha        mu     
-----------------------------------------------------------------------
    1     1.00860609e+01     1.52e-01      1.70e+00   1.00e+00   2.00e+00  
    2     7.52740760e+00     1.85e-01      1.39e+00   1.00e+00   2.00e+00  
    3     6.12063002e+00     1.99e-01      1.16e+00   1.00e+00   2.00e+00  
    4     5.20244846e+00     2.06e-01      9.71e-01   1.00e+00   2.00e+00  
    5     4.56771314e+00     2.10e-01      8.26e-01   1.00e+00   2.00e+00  
    6     4.11233259e+00     2.13e-01      7.11e-01   1.00e+00   2.00e+00  
    7     3.77608616e+00     2.16e-01      6.18e-01   1.00e+00   2.00e+00  
    8     3.52180009e+00     2.17e-01      5.43e-01   1.00e+00   2.00e+00  
    9     3.32549920e+00     2.19e-01      4.81e-01   1.00e+00   2.00e+00  
   10     3.17118877e+00     2.20e-01      4.31e-01   1.00e+00   2.00e+00  
   11     3.04789633e+00     2.20e-01      3.88e-01   1.00e+00   2.00e+00  
   12     2.94791168e+00     2.21e-01      3.53e-01   1.00e+00   2.00e+00  
   13     2.86570033e+00     2.21e-01      3.23e-01   1.00e+00   2.00e+00  
   14     2.79721208e+00     2.22e-01      2.99e-01   1.00e+00   2.00e+00  
   15     2.73942954e+00     2.22e-01      2.78e-01   1.00e+00   2.00e+00  
   16     2.69006677e+00     2.22e-01      2.61e-01   1.00e+00   2.00e+00  
   17     2.64736387e+00     2.22e-01      2.47e-01   1.00e+00   2.00e+00  
   18     2.60994458e+00     2.23e-01      2.35e-01   1.00e+00   2.00e+00  
   19     2.57671586e+00     2.23e-01      2.25e-01   1.00e+00   2.00e+00  
   20     2.54679601e+00     2.23e-01      2.18e-01   1.00e+00   2.00e+00  
   21     2.51946280e+00     2.23e-01      2.12e-01   1.00e+00   2.00e+00  
   22     2.24343205e+00     2.31e-01      9.95e-01   2.50e-01   2.00e+00  
   23     1.94301825e+00     2.33e-01      1.02e+00   1.00e+00   2.00e+00  
   24     1.58300422e+00     2.30e-01      1.33e+00   1.00e+00   2.00e+00  
   25     1.10657245e+00     2.02e-01      8.58e-01   1.00e+00   2.00e+00  
   26     9.30489931e-01     1.16e-01      1.05e+00   5.00e-01   2.00e+00  
   27     7.39946834e-01     6.09e-02      4.32e-01   1.00e+00   2.00e+00  
   28     1.55001802e-01     5.18e-02      1.46e-01   1.00e+00   2.00e+00  
   29     1.21354778e-01     4.42e-02      1.05e-01   1.00e+00   2.00e+00  
   30     1.12226713e-01     4.66e-02      1.08e-02   1.00e+00   2.00e+00  

 Problema mal escalado 
